MANUAL ID,TRUE POSITIVE,FALSE NEGATIVE,FALSE POSITIVE,PRECISION,RECALL,F1
Actitis-macularius,60.0,0.0,0.0,1.0,1.0,1.0
Adelomyia-melanogenys,63.0,0.0,0.0,1.0,1.0,1.0
Aeronautes-montivagus,135.0,6.0,33.0,0.8036,0.9574,0.8738
Agamia-agami,27.0,9.0,12.0,0.6923,0.75,0.72
Aglaiocercus-kingii,30.0,0.0,0.0,1.0,1.0,1.0
Akletos-goeldii,60.0,0.0,24.0,0.7143,1.0,0.8333
Akletos-melanoceps,183.0,12.0,99.0,0.6489,0.9385,0.7673
Amaurolimnas-concolor,60.0,0.0,3.0,0.9524,1.0,0.9756
Amazona-aestiva,36.0,0.0,0.0,1.0,1.0,1.0
Amazona-amazonica,60.0,0.0,6.0,0.9091,1.0,0.9524
Amazona-mercenarius,39.0,2.173174603174603,0.0,1.0,0.9472,0.9729
Amazona-ochrocephala,108.0,3.0,3.0,0.973,0.973,0.973
Amazonetta-brasiliensis,21.0,0.0,0.0,1.0,1.0,1.0
Amblycercus-holosericeus,129.0,0.0,0.0,1.0,1.0,1.0
Ammodramus-humeralis,42.0,0.0,15.0,0.7368,1.0,0.8485
Ampelioides-tschudii,30.0,3.0,33.0,0.4762,0.9091,0.625
Ampelion-rubrocristatus,9.0,0.0,3.0,0.75,1.0,0.8571
Anabacerthia-ruficaudata,39.0,0.0,3.0,0.9286,1.0,0.963
Anabacerthia-striaticollis,96.0,0.0,9.0,0.9143,1.0,0.9552
Andigena-hypoglauca,105.0,0.0,3.0,0.9722,1.0,0.9859
Anhima-cornuta,63.0,3.0,18.0,0.7778,0.9545,0.8571
Anhinga-anhinga,45.0,9.0,18.0,0.7143,0.8333,0.7692
Antrostomus-sericocaudatus,105.0,0.0,6.0,0.9459,1.0,0.9722
Ara-ararauna,72.0,0.0,0.0,1.0,1.0,1.0
Ara-chloropterus,78.0,0.0,108.0,0.4194,1.0,0.5909
Ara-macao,141.0,0.0,21.0,0.8704,1.0,0.9307
Ara-militaris,84.0,3.0,42.0,0.6667,0.9655,0.7887
Aramides-cajaneus,42.0,0.0,45.0,0.4828,1.0,0.6512
Ardea-alba,30.0,0.0,3.0,0.9091,1.0,0.9524
Ardea-cocoi,12.0,0.0,3.0,0.8,1.0,0.8889
Arenaria-interpres,27.0,0.0,0.0,1.0,1.0,1.0
Arremon-brunneinucha,87.0,0.0,3.0,0.9667,1.0,0.9831
Arremon-castaneiceps,120.0,0.0,3.0,0.9756,1.0,0.9877
Arremon-taciturnus,60.0,0.0,15.0,0.8,1.0,0.8889
Arundinicola-leucocephala,51.0,0.0,93.0,0.3542,1.0,0.5231
Asthenes-urubambensis,84.0,0.0,9.0,0.9032,1.0,0.9492
Athene-cunicularia,27.0,0.0,15.0,0.6429,1.0,0.7826
Atticora-fasciata,96.0,0.0,3.0,0.9697,1.0,0.9846
Attila-bolivianus,135.0,3.0,9.0,0.9375,0.9783,0.9574
Attila-cinnamomeus,198.0,3.0,9.0,0.9565,0.9851,0.9706
Aulacorhynchus-derbianus,54.0,6.0,3.0,0.9474,0.9,0.9231
Aulacorhynchus-prasinus,48.0,0.0,27.0,0.64,1.0,0.7805
Automolus-subulatus,96.0,0.0,3.0,0.9697,1.0,0.9846
Bartramia-longicauda,30.0,0.0,0.0,1.0,1.0,1.0
Baryphthengus-martii,141.0,18.0,30.0,0.8246,0.8868,0.8545
Bolborhynchus-lineola,33.0,0.0,0.0,1.0,1.0,1.0
Bolborhynchus-orbygnesius,111.0,0.0,0.0,1.0,1.0,1.0
Brotogeris-cyanoptera,24.0,0.0,3.0,0.8889,1.0,0.9412
Bubulcus-ibis,27.0,0.0,0.0,1.0,1.0,1.0
Bucco-macrodactylus,111.0,0.0,0.0,1.0,1.0,1.0
Bucco-tamatia,102.0,6.0,12.0,0.8947,0.9444,0.9189
Busarellus-nigricollis,84.0,0.0,30.0,0.7368,1.0,0.8485
Buteo-albigula,96.0,9.0,30.0,0.7619,0.9143,0.8312
Buteo-albonotatus,54.0,6.0,6.0,0.9,0.9,0.9
Buteo-brachyurus,75.0,3.0,3.0,0.9615,0.9615,0.9615
Buteo-nitidus,54.0,0.0,57.0,0.4865,1.0,0.6545
Buteo-platypterus,57.0,0.0,51.0,0.5278,1.0,0.6909
Buteo-swainsoni,51.0,0.0,3.0,0.9444,1.0,0.9714
Buteogallus-meridionalis,18.0,0.0,39.0,0.3158,1.0,0.48
Buteogallus-schistaceus,63.0,0.0,42.0,0.6,1.0,0.75
Buteogallus-solitarius,54.0,0.0,21.0,0.72,1.0,0.8372
Buteogallus-urubitinga,48.0,0.0,33.0,0.5926,1.0,0.7442
Butorides-striata,27.0,0.0,12.0,0.6923,1.0,0.8182
Cacicus-cela,78.0,0.0,6.0,0.9286,1.0,0.963
Cacicus-chrysonotus,156.0,3.0,153.0,0.5049,0.9811,0.6667
Cacicus-solitarius,30.0,0.0,9.0,0.7692,1.0,0.8696
Calidris-alba,30.0,0.0,0.0,1.0,1.0,1.0
Calidris-bairdii,138.0,3.0,9.0,0.9388,0.9787,0.9583
Calidris-himantopus,168.0,0.0,12.0,0.9333,1.0,0.9655
Calidris-melanotos,30.0,0.0,12.0,0.7143,1.0,0.8333
Calidris-pusilla,48.0,0.0,39.0,0.5517,1.0,0.7111
Calidris-subruficollis,18.0,3.0,0.0,1.0,0.8571,0.9231
Calliphlox-amethystina,15.0,0.0,0.0,1.0,1.0,1.0
Campephilus-melanoleucos,123.0,0.0,18.0,0.8723,1.0,0.9318
Campephilus-rubricollis,60.0,0.0,6.0,0.9091,1.0,0.9524
Campylopterus-largipennis,33.0,0.0,0.0,1.0,1.0,1.0
Campylorhamphus-trochilirostris,69.0,0.0,12.0,0.8519,1.0,0.92
Campylorhynchus-turdinus,24.0,0.0,6.0,0.8,1.0,0.8889
Cantorchilus-leucotis,75.0,3.0,15.0,0.8333,0.9615,0.8929
Capito-auratus,177.0,0.0,3.0,0.9833,1.0,0.9916
Caracara-plancus,78.0,3.0,6.0,0.9286,0.963,0.9455
Cardellina-canadensis,75.0,0.0,6.0,0.9259,1.0,0.9615
Casiornis-rufus,27.0,0.0,30.0,0.4737,1.0,0.6429
Catamblyrhynchus-diadema,114.0,0.0,0.0,1.0,1.0,1.0
Catamenia-homochroa,225.0,6.0,27.0,0.8929,0.974,0.9317
Catamenia-inornata,39.0,0.0,6.0,0.8667,1.0,0.9286
Catharus-fuscater,120.0,0.0,0.0,1.0,1.0,1.0
Catharus-fuscescens,171.0,0.0,15.0,0.9194,1.0,0.958
Catharus-minimus,150.0,0.0,0.0,1.0,1.0,1.0
Catharus-ustulatus,36.0,0.0,9.0,0.8,1.0,0.8889
Celeus-elegans,15.0,0.0,12.0,0.5556,1.0,0.7143
Celeus-flavus,60.0,0.0,21.0,0.7407,1.0,0.8511
Celeus-torquatus,63.0,0.0,111.0,0.3621,1.0,0.5316
Ceratopipra-chloromeros,33.0,0.0,48.0,0.4074,1.0,0.5789
Ceratopipra-rubrocapilla,69.0,3.0,9.0,0.8846,0.9583,0.92
Cercomacra-manu,132.0,0.0,75.0,0.6377,1.0,0.7788
Cercomacroides-fuscicauda,48.0,3.0,3.0,0.9412,0.9412,0.9412
Cercomacroides-nigrescens,54.0,3.0,24.0,0.6923,0.9474,0.8
Cercomacroides-serva,129.0,3.0,15.0,0.8958,0.9773,0.9348
Certhiaxis-cinnamomeus,75.0,0.0,15.0,0.8333,1.0,0.9091
Chaetura-brachyura,69.0,0.0,15.0,0.8214,1.0,0.902
Chaetura-cinereiventris,63.0,0.0,0.0,1.0,1.0,1.0
Chaetura-pelagica,192.0,3.0,9.0,0.9552,0.9846,0.9697
Chaetura-viridipennis,3.0,0.0,0.0,1.0,1.0,1.0
Chamaepetes-goudotii,123.0,3.0,18.0,0.8723,0.9762,0.9213
Chamaeza-campanisona,69.0,3.0,27.0,0.7188,0.9583,0.8214
Chamaeza-nobilis,45.0,0.0,9.0,0.8333,1.0,0.9091
Charadrius-collaris,51.0,0.0,0.0,1.0,1.0,1.0
Chelidoptera-tenebrosa,45.0,0.0,3.0,0.9375,1.0,0.9677
Chiroxiphia-boliviana,93.0,0.0,24.0,0.7949,1.0,0.8857
Chloroceryle-aenea,69.0,0.0,18.0,0.7931,1.0,0.8846
Chloroceryle-amazona,69.0,0.0,6.0,0.92,1.0,0.9583
Chloroceryle-americana,48.0,0.0,9.0,0.8421,1.0,0.9143
Chlorochrysa-calliparaea,54.0,0.0,0.0,1.0,1.0,1.0
Chlorophanes-spiza,66.0,0.0,0.0,1.0,1.0,1.0
Chloropipo-unicolor,48.0,6.0,9.0,0.8421,0.8889,0.8649
Chlorospingus-canigularis,117.0,0.0,0.0,1.0,1.0,1.0
Chlorospingus-flavopectus,141.0,3.0,3.0,0.9792,0.9792,0.9792
Chlorothraupis-carmioli,36.0,0.0,0.0,1.0,1.0,1.0
Chondrohierax-uncinatus,27.0,0.0,45.0,0.375,1.0,0.5455
Chordeiles-minor,39.0,0.0,0.0,1.0,1.0,1.0
Chordeiles-rupestris,45.0,0.0,24.0,0.6522,1.0,0.7895
Chroicocephalus-serranus,90.0,0.0,0.0,1.0,1.0,1.0
Chrysuronia-oenone,63.0,0.0,9.0,0.875,1.0,0.9333
Cinclodes-albiventris,36.0,0.0,3.0,0.9231,1.0,0.96
Cinnycerthia-fulva,102.0,0.0,3.0,0.9714,1.0,0.9855
Cissopis-leverianus,51.0,0.0,0.0,1.0,1.0,1.0
Clibanornis-rubiginosus,204.0,0.0,0.0,1.0,1.0,1.0
Cnipodectes-superrufus,78.0,15.0,27.0,0.7429,0.8387,0.7879
Coccyzus-americanus,21.0,0.0,0.0,1.0,1.0,1.0
Coccyzus-erythropthalmus,153.0,0.0,0.0,1.0,1.0,1.0
Cochlearius-cochlearius,51.0,0.0,6.0,0.8947,1.0,0.9444
Coeligena-coeligena,84.0,0.0,0.0,1.0,1.0,1.0
Coeligena-violifer,27.0,0.0,0.0,1.0,1.0,1.0
Coereba-flaveola,75.0,0.0,0.0,1.0,1.0,1.0
Colaptes-punctigula,9.0,0.0,0.0,1.0,1.0,1.0
Colaptes-rivolii,51.0,0.0,3.0,0.9444,1.0,0.9714
Colaptes-rubiginosus,75.0,3.0,15.0,0.8333,0.9615,0.8929
Colaptes-rupicola,27.0,0.0,0.0,1.0,1.0,1.0
Colibri-delphinae,255.0,3.0,15.0,0.9444,0.9884,0.9659
Colonia-colonus,30.0,0.0,3.0,0.9091,1.0,0.9524
Columbina-picui,45.0,0.0,12.0,0.7895,1.0,0.8824
Conirostrum-ferrugineiventre,48.0,0.0,0.0,1.0,1.0,1.0
Conopias-trivirgatus,51.0,0.0,0.0,1.0,1.0,1.0
Conopophaga-ardesiaca,39.0,0.0,0.0,1.0,1.0,1.0
Conopophaga-peruviana,93.0,0.0,33.0,0.7381,1.0,0.8493
Conothraupis-speculigera,48.0,0.0,30.0,0.6154,1.0,0.7619
Contopus-cinereus,30.0,0.0,0.0,1.0,1.0,1.0
Contopus-cooperi,57.0,0.0,0.0,1.0,1.0,1.0
Contopus-nigrescens,123.0,0.0,9.0,0.9318,1.0,0.9647
Contopus-sordidulus,24.0,6.0,0.0,1.0,0.8,0.8889
Contopus-virens,144.0,0.0,42.0,0.7742,1.0,0.8727
Coryphaspiza-melanotis,15.0,0.0,0.0,1.0,1.0,1.0
Cotinga-maynana,6.0,0.0,3.0,0.6667,1.0,0.8
Cranioleuca-curtata,69.0,0.0,6.0,0.92,1.0,0.9583
Cranioleuca-gutturata,159.0,0.0,39.0,0.803,1.0,0.8908
Cranioleuca-marcapatae,159.0,0.0,0.0,1.0,1.0,1.0
Crax-globulosa,24.0,0.0,0.0,1.0,1.0,1.0
Crotophaga-major,15.0,0.0,69.0,0.1786,1.0,0.303
Crypturellus-cinereus,162.0,3.0,0.0,1.0,0.9818,0.9908
Crypturellus-obsoletus,81.0,15.0,12.0,0.871,0.8438,0.8571
Crypturellus-parvirostris,72.0,0.0,0.0,1.0,1.0,1.0
Crypturellus-soui,117.0,0.0,42.0,0.7358,1.0,0.8478
Crypturellus-strigulosus,54.0,9.0,75.0,0.4186,0.8571,0.5625
Cyanerpes-cyaneus,21.0,0.0,0.0,1.0,1.0,1.0
Cyanocorax-cyanomelas,99.0,0.0,6.0,0.9429,1.0,0.9706
Cyanocorax-violaceus,117.0,0.0,18.0,0.8667,1.0,0.9286
Cyanocorax-yncas,54.0,0.0,21.0,0.72,1.0,0.8372
Cyanolyca-viridicyanus,12.0,0.0,0.0,1.0,1.0,1.0
Cyclarhis-gujanensis,108.0,0.0,6.0,0.9474,1.0,0.973
Cymbilaimus-lineatus,135.0,0.0,102.0,0.5696,1.0,0.7258
Cymbilaimus-sanctaemariae,111.0,0.0,81.0,0.5781,1.0,0.7327
Cyphorhinus-arada,39.0,0.0,6.0,0.8667,1.0,0.9286
Dacnis-cayana,78.0,0.0,6.0,0.9286,1.0,0.963
Dacnis-lineata,66.0,0.0,9.0,0.88,1.0,0.9362
Daptrius-ater,150.0,0.0,30.0,0.8333,1.0,0.9091
Deconychura-longicauda,72.0,0.0,33.0,0.6857,1.0,0.8136
Dendrocincla-fuliginosa,39.0,0.0,15.0,0.7222,1.0,0.8387
Dendrocincla-merula,24.0,0.0,3.0,0.8889,1.0,0.9412
Dendrocolaptes-certhia,144.0,0.0,72.0,0.6667,1.0,0.8
Dendrocolaptes-picumnus,84.0,0.0,30.0,0.7368,1.0,0.8485
Dendroplex-picus,33.0,0.0,0.0,1.0,1.0,1.0
Dichrozona-cincta,72.0,6.0,27.0,0.7273,0.9231,0.8136
Diglossa-brunneiventris,66.0,0.0,6.0,0.9167,1.0,0.9565
Diglossa-caerulescens,12.0,6.0,0.0,1.0,0.6667,0.8
Diglossa-glauca,78.0,0.0,0.0,1.0,1.0,1.0
Diopsittaca-nobilis,78.0,0.0,3.0,0.963,1.0,0.9811
Dolichonyx-oryzivorus,18.0,0.0,0.0,1.0,1.0,1.0
Donacobius-atricapilla,147.0,0.0,15.0,0.9074,1.0,0.9515
Doryfera-johannae,87.0,0.0,3.0,0.9667,1.0,0.9831
Dromococcyx-phasianellus,36.0,0.0,3.0,0.9231,1.0,0.96
Drymophila-devillei,102.0,0.0,27.0,0.7907,1.0,0.8831
Dryocopus-lineatus,105.0,3.0,39.0,0.7292,0.9722,0.8333
Dubusia-taeniata,33.0,0.0,3.0,0.9167,1.0,0.9565
Egretta-caerulea,39.0,0.0,21.0,0.65,1.0,0.7879
Egretta-thula,12.0,0.0,0.0,1.0,1.0,1.0
Elaenia-albiceps,117.0,3.0,24.0,0.8298,0.975,0.8966
Elaenia-chiriquensis,63.0,12.0,3.0,0.9545,0.84,0.8936
Elaenia-cristata,12.0,0.0,24.0,0.3333,1.0,0.5
Elaenia-gigas,3.0,0.0,3.0,0.5,1.0,0.6667
Elaenia-pallatangae,21.0,0.0,0.0,1.0,1.0,1.0
Elaenia-parvirostris,42.0,0.0,15.0,0.7368,1.0,0.8485
Elaenia-spectabilis,21.0,0.0,9.0,0.7,1.0,0.8235
Elanus-leucurus,141.0,0.0,6.0,0.9592,1.0,0.9792
Electron-platyrhynchum,39.0,0.0,12.0,0.7647,1.0,0.8667
Emberizoides-herbicola,84.0,0.0,0.0,1.0,1.0,1.0
Empidonax-alnorum,15.0,0.0,0.0,1.0,1.0,1.0
Empidonomus-varius,36.0,0.0,3.0,0.9231,1.0,0.96
Entomodestes-leucotis,33.0,0.0,12.0,0.7333,1.0,0.8462
Epinecrophylla-amazonica,69.0,0.0,15.0,0.8214,1.0,0.902
Epinecrophylla-erythrura,63.0,0.0,0.0,1.0,1.0,1.0
Epinecrophylla-haematonota,57.0,0.0,15.0,0.7917,1.0,0.8837
Epinecrophylla-ornata,69.0,0.0,9.0,0.8846,1.0,0.9388
Eubucco-richardsoni,12.0,0.0,3.0,0.8,1.0,0.8889
Eubucco-tucinkae,15.0,12.0,3.0,0.8333,0.5556,0.6667
Euchrepomis-humeralis,93.0,0.0,24.0,0.7949,1.0,0.8857
Eucometis-penicillata,24.0,0.0,9.0,0.7273,1.0,0.8421
Eupetomena-macroura,42.0,0.0,0.0,1.0,1.0,1.0
Euphonia-chlorotica,75.0,0.0,0.0,1.0,1.0,1.0
Euphonia-chrysopasta,78.0,3.0,27.0,0.7429,0.963,0.8387
Euphonia-cyanocephala,60.0,0.0,15.0,0.8,1.0,0.8889
Euphonia-laniirostris,99.0,0.0,3.0,0.9706,1.0,0.9851
Euphonia-mesochrysa,60.0,0.0,0.0,1.0,1.0,1.0
Euphonia-rufiventris,51.0,0.0,30.0,0.6296,1.0,0.7727
Euphonia-xanthogaster,12.0,0.0,0.0,1.0,1.0,1.0
Eupsittula-aurea,51.0,0.0,0.0,1.0,1.0,1.0
Euscarthmus-meloryphus,36.0,0.0,9.0,0.8,1.0,0.8889
Falco-deiroleucus,45.0,3.0,0.0,1.0,0.9375,0.9677
Falco-femoralis,66.0,0.0,48.0,0.5789,1.0,0.7333
Falco-rufigularis,48.0,0.0,33.0,0.5926,1.0,0.7442
Falco-sparverius,102.0,9.0,3.0,0.9714,0.9189,0.9444
Florisuga-mellivora,6.0,0.0,0.0,1.0,1.0,1.0
Fluvicola-albiventer,36.0,0.0,24.0,0.6,1.0,0.75
Formicarius-analis,6.0,0.0,3.0,0.6667,1.0,0.8
Formicarius-colma,39.0,0.0,6.0,0.8667,1.0,0.9286
Formicarius-rufifrons,45.0,0.0,96.0,0.3191,1.0,0.4839
Formicarius-rufipectus,9.0,3.0,3.0,0.75,0.75,0.75
Formicivora-rufa,45.0,0.0,0.0,1.0,1.0,1.0
Forpus-modestus,18.0,0.0,0.0,1.0,1.0,1.0
Forpus-xanthopterygius,120.0,0.0,18.0,0.8696,1.0,0.9302
Furnarius-leucopus,39.0,0.0,3.0,0.9286,1.0,0.963
Galbalcyrhynchus-purusianus,75.0,0.0,9.0,0.8929,1.0,0.9434
Galbula-cyanicollis,21.0,0.0,15.0,0.5833,1.0,0.7368
Galbula-dea,45.0,0.0,0.0,1.0,1.0,1.0
Galbula-leucogastra,60.0,0.0,24.0,0.7143,1.0,0.8333
Gampsonyx-swainsonii,21.0,0.0,0.0,1.0,1.0,1.0
Geothlypis-aequinoctialis,237.0,3.0,6.0,0.9753,0.9875,0.9814
Geotrygon-saphirina,87.0,9.0,0.0,1.0,0.9062,0.9508
Geranospiza-caerulescens,39.0,0.0,27.0,0.5909,1.0,0.7429
Glaucidium-brasilianum,36.0,0.0,0.0,1.0,1.0,1.0
Glaucis-hirsutus,15.0,0.0,0.0,1.0,1.0,1.0
Glyphorynchus-spirurus,36.0,0.0,6.0,0.8571,1.0,0.9231
Gnorimopsar-chopi,24.0,0.0,9.0,0.7273,1.0,0.8421
Grallaria-eludens,114.0,6.0,42.0,0.7308,0.95,0.8261
Grallaria-erythroleuca,51.0,0.0,21.0,0.7083,1.0,0.8293
Grallaricula-leymebambae,78.0,3.0,15.0,0.8387,0.963,0.8966
Hafferia-fortis,126.0,9.0,72.0,0.6364,0.9333,0.7568
Haplophaedia-assimilis,18.0,0.0,0.0,1.0,1.0,1.0
Haplospiza-rustica,201.0,9.0,42.0,0.8272,0.9571,0.8874
Harpagus-bidentatus,42.0,0.0,6.0,0.875,1.0,0.9333
Helicolestes-hamatus,129.0,3.0,51.0,0.7167,0.9773,0.8269
Heliodoxa-aurescens,81.0,0.0,0.0,1.0,1.0,1.0
Heliodoxa-leadbeateri,87.0,0.0,9.0,0.9062,1.0,0.9508
Heliodoxa-schreibersii,33.0,0.0,3.0,0.9167,1.0,0.9565
Heliomaster-longirostris,45.0,0.0,0.0,1.0,1.0,1.0
Heliornis-fulica,18.0,0.0,6.0,0.75,1.0,0.8571
Heliothryx-auritus,15.0,0.0,3.0,0.8333,1.0,0.9091
Hemithraupis-flavicollis,12.0,0.0,9.0,0.5714,1.0,0.7273
Hemithraupis-guira,24.0,0.0,9.0,0.7273,1.0,0.8421
Hemitriccus-cohnhafti,132.0,0.0,3.0,0.9778,1.0,0.9888
Hemitriccus-griseipectus,234.0,0.0,3.0,0.9873,1.0,0.9936
Hemitriccus-rufigularis,165.0,3.0,12.0,0.9322,0.9821,0.9565
Henicorhina-leucophrys,42.0,0.0,3.0,0.9333,1.0,0.9655
Herpetotheres-cachinnans,51.0,0.0,0.0,1.0,1.0,1.0
Herpsilochmus-axillaris,57.0,0.0,27.0,0.6786,1.0,0.8085
Herpsilochmus-rufimarginatus,15.0,0.0,12.0,0.5556,1.0,0.7143
