MANUAL ID,TRUE POSITIVE,FALSE NEGATIVE,FALSE POSITIVE,PRECISION,RECALL,F1
Actitis-macularius,45.0,15.0,0.0,1.0,0.75,0.8571
Adelomyia-melanogenys,21.0,0.0,0.0,1.0,1.0,1.0
Aeronautes-montivagus,90.0,33.0,12.0,0.8824,0.7317,0.8
Aglaiocercus-kingii,9.0,9.0,0.0,1.0,0.5,0.6667
Akletos-goeldii,24.0,3.0,9.0,0.7273,0.8889,0.8
Akletos-melanoceps,81.0,114.0,84.0,0.4909,0.4154,0.45
Amaurolimnas-concolor,3.0,18.0,0.0,1.0,0.1429,0.25
Amazona-aestiva,27.0,9.0,0.0,1.0,0.75,0.8571
Amazona-amazonica,48.0,6.0,3.0,0.9412,0.8889,0.9143
Amazona-ochrocephala,84.0,27.0,3.0,0.9655,0.7568,0.8485
Amazonetta-brasiliensis,12.0,3.0,0.0,1.0,0.8,0.8889
Amblycercus-holosericeus,24.0,96.0,0.0,1.0,0.2,0.3333
Ammodramus-humeralis,39.0,0.0,15.0,0.7222,1.0,0.8387
Ampelioides-tschudii,27.0,6.0,33.0,0.45,0.8182,0.5806
Ampelion-rubrocristatus,6.0,3.0,0.0,1.0,0.6667,0.8
Anabacerthia-ruficaudata,15.0,0.0,0.0,1.0,1.0,1.0
Anabacerthia-striaticollis,87.0,3.0,6.0,0.9355,0.9667,0.9508
Andigena-hypoglauca,21.0,84.0,3.0,0.875,0.2,0.3256
Anhima-cornuta,24.0,15.0,15.0,0.6154,0.6154,0.6154
Antrostomus-sericocaudatus,9.0,96.0,0.0,1.0,0.0857,0.1579
Ara-ararauna,21.0,15.0,0.0,1.0,0.5833,0.7368
Ara-chloropterus,48.0,30.0,87.0,0.3556,0.6154,0.4507
Ara-macao,63.0,48.0,15.0,0.8077,0.5676,0.6667
Ara-militaris,6.0,15.0,0.0,1.0,0.2857,0.4444
Aramides-cajaneus,9.0,33.0,0.0,1.0,0.2143,0.3529
Ardea-alba,3.0,6.0,0.0,1.0,0.3333,0.5
Ardea-cocoi,3.0,3.0,3.0,0.5,0.5,0.5
Arenaria-interpres,24.0,3.0,0.0,1.0,0.8889,0.9412
Arremon-brunneinucha,24.0,63.0,3.0,0.8889,0.2759,0.4211
Arremon-castaneiceps,33.0,87.0,0.0,1.0,0.275,0.4314
Arremon-taciturnus,6.0,24.0,0.0,1.0,0.2,0.3333
Arundinicola-leucocephala,48.0,3.0,90.0,0.3478,0.9412,0.5079
Asthenes-urubambensis,81.0,3.0,27.0,0.75,0.9643,0.8437
Athene-cunicularia,12.0,15.0,18.0,0.4,0.4444,0.4211
Atticora-fasciata,69.0,0.0,3.0,0.9583,1.0,0.9787
Attila-bolivianus,135.0,3.0,9.0,0.9375,0.9783,0.9574
Attila-cinnamomeus,66.0,84.0,3.0,0.9565,0.44,0.6027
Aulacorhynchus-derbianus,15.0,3.0,0.0,1.0,0.8333,0.9091
Automolus-subulatus,54.0,42.0,3.0,0.9474,0.5625,0.7059
Bartramia-longicauda,30.0,0.0,0.0,1.0,1.0,1.0
Baryphthengus-martii,39.0,96.0,9.0,0.8125,0.2889,0.4262
Bolborhynchus-lineola,33.0,0.0,0.0,1.0,1.0,1.0
Bolborhynchus-orbygnesius,111.0,0.0,0.0,1.0,1.0,1.0
Brotogeris-cyanoptera,12.0,0.0,0.0,1.0,1.0,1.0
Bubulcus-ibis,6.0,12.0,0.0,1.0,0.3333,0.5
Bucco-macrodactylus,69.0,42.0,0.0,1.0,0.6216,0.7667
Bucco-tamatia,78.0,30.0,9.0,0.8966,0.7222,0.8
Busarellus-nigricollis,54.0,18.0,15.0,0.7826,0.75,0.766
Buteo-albigula,39.0,66.0,6.0,0.8667,0.3714,0.52
Buteo-albonotatus,36.0,24.0,6.0,0.8571,0.6,0.7059
Buteo-brachyurus,36.0,39.0,6.0,0.8571,0.48,0.6154
Buteo-nitidus,51.0,0.0,60.0,0.4595,1.0,0.6296
Buteo-swainsoni,51.0,0.0,3.0,0.9444,1.0,0.9714
Buteogallus-meridionalis,15.0,3.0,36.0,0.2941,0.8333,0.4348
